VisitID,AnonID,FacilityID,VisitTimestamp,DayOfWeek,TimeOfDay,MethodOfEntry,TypeOfAccess,OccupancyAtTime
V00000034,QGX058OAT,FAC101,2025-01-30 09:04:03,THU,09:04:03,False,EXIT,106
V00000035,E964H6MRJ,FAC101,2025-01-30 09:04:46,THU,09:04:46,False,ENTRY,168
V00000036,IPKBEWO8C,FAC101,2025-01-30 09:06:25,THU,09:06:25,False,REENT,102
V00000037,F8L3ODA47,FAC101,2025-01-30 09:07:21,THU,09:07:21,False,REENT,127
V00000038,O6S016SZD,FAC101,2025-01-30 09:07:36,THU,09:07:36,False,EXIT,108
V00000039,GJ9GS93NU,FAC102,2025-01-30 09:07:58,THU,09:07:58,False,EXIT,157
V00000040,OMKFZXCVT,FAC101,2025-01-30 09:08:47,THU,09:08:47,True,REENT,114
V00000041,LPE1KV068,FAC101,2025-01-30 09:09:49,THU,09:09:49,True,EXIT,173
V00000042,BVG4Q1GRO,FAC101,2025-01-30 09:11:32,THU,09:11:32,True,EXIT,184
V00000043,VKNTGX60U,FAC101,2025-01-30 09:12:42,THU,09:12:42,False,EXIT,105
V00000044,KJLS4C9DQ,FAC101,2025-01-30 09:13:30,THU,09:13:30,True,ENTRY,167
V00000045,J7ARYXWYG,FAC101,2025-01-30 09:13:47,THU,09:13:47,True,ENTRY,115
V00000046,GRYSL7T64,FAC101,2025-01-30 09:14:37,THU,09:14:37,False,REENT,146
V00000047,HIWME20M0,FAC101,2025-01-30 09:14:43,THU,09:14:43,False,EXIT,174
V00000048,RCV53D5SS,FAC101,2025-01-30 09:15:40,THU,09:15:40,True,REENT,169
V00000049,IAHMK70OV,FAC102,2025-01-30 09:16:43,THU,09:16:43,False,EXIT,185
V00000050,MZ5GS9G7P,FAC101,2025-01-30 09:17:26,THU,09:17:26,True,ENTRY,107
V00000051,YYR3YI0PB,FAC101,2025-01-30 09:17:31,THU,09:17:31,True,EXIT,131
V00000052,TW6IBTRT7,FAC101,2025-01-30 09:18:01,THU,09:18:01,False,ENTRY,129
V00000053,AU8IPM8F8,FAC101,2025-01-30 09:18:24,THU,09:18:24,True,EXIT,112
V00000054,PLDEEQQ6G,FAC101,2025-01-30 09:18:59,THU,09:18:59,True,REENT,118
V00000055,QBASAHBT0,FAC102,2025-01-30 09:19:46,THU,09:19:46,True,REENT,167
V00000056,W6XQLR9V0,FAC101,2025-01-30 09:20:21,THU,09:20:21,False,EXIT,169
V00000057,HI21IMWJS,FAC101,2025-01-30 09:20:58,THU,09:20:58,True,REENT,170
V00000058,QMWC5MSIA,FAC101,2025-01-30 09:21:17,THU,09:21:17,False,EXIT,181
V00000059,CX7ZL3TTN,FAC101,2025-01-30 09:21:59,THU,09:21:59,True,ENTRY,102
V00000060,OW3MB8FLS,FAC101,2025-01-30 09:22:09,THU,09:22:09,False,REENT,119
V00000061,AX5JCQCAI,FAC101,2025-01-30 09:23:01,THU,09:23:01,True,EXIT,150
V00000062,VKJSJPNJE,FAC101,2025-01-30 09:23:47,THU,09:23:47,True,ENTRY,182
V00000063,YHBHOS3JA,FAC101,2025-01-30 09:24:26,THU,09:24:26,False,EXIT,107
V00000064,BIGUA0DIJ,FAC101,2025-01-30 09:25:04,THU,09:25:04,True,EXIT,151
V00000065,J9S6H2IOI,FAC101,2025-01-30 09:25:50,THU,09:25:50,True,EXIT,106
V00000066,GQ46NWNVC,FAC101,2025-01-30 09:26:24,THU,09:26:24,True,EXIT,138
V00000067,E8OV9OL3R,FAC101,2025-01-30 09:26:42,THU,09:26:42,False,EXIT,129
V00000068,N3BZN1WZG,FAC101,2025-01-30 09:27:20,THU,09:27:20,True,EXIT,125
V00000069,Y7H0TDIAW,FAC101,2025-01-30 09:27:56,THU,09:27:56,True,EXIT,162
V00000070,FF6CHLSFP,FAC101,2025-01-30 09:28:48,THU,09:28:48,False,EXIT,102
V00000071,CMVANZWPE,FAC101,2025-01-30 09:29:11,THU,09:29:11,False,EXIT,130
V00000072,KGY5SXIIA,FAC101,2025-01-30 09:30:16,THU,09:30:16,False,EXIT,117
V00000073,N9SWXDL7L,FAC101,2025-01-30 09:31:46,THU,09:31:46,True,EXIT,117
V00000074,W76LZQF1S,FAC101,2025-01-30 09:32:15,THU,09:32:15,False,ENTRY,177
V00000075,ZZCC2QC52,FAC101,2025-01-30 09:33:08,THU,09:33:08,True,EXIT,162
V00000076,BO1JFSG6Y,FAC101,2025-01-30 09:34:00,THU,09:34:00,False,ENTRY,104
V00000077,ZYW54VT72,FAC101,2025-01-30 09:34:32,THU,09:34:32,False,REENT,110
V00000078,K3NRTQ6FA,FAC101,2025-01-30 09:34:50,THU,09:34:50,True,ENTRY,121
V00000079,EXXF97VTQ,FAC101,2025-01-30 09:35:16,THU,09:35:16,True,EXIT,177
V00000080,G1K6PUXUU,FAC101,2025-01-30 09:35:41,THU,09:35:41,False,EXIT,189
V00000081,ZQZ06KFON,FAC101,2025-01-30 09:36:13,THU,09:36:13,False,ENTRY,179
V00000082,J5PPFH6T5,FAC101,2025-01-30 09:37:42,THU,09:37:42,True,ENTRY,126
V00000083,LRJ5T4568,FAC101,2025-01-30 09:38:05,THU,09:38:05,True,EXIT,183
V00000084,U1JB4VFKG,FAC101,2025-01-30 09:38:52,THU,09:38:52,True,EXIT,151
V00000085,LPE1KV068,FAC101,2025-01-30 09:40:12,THU,09:40:12,False,ENTRY,107
V00000086,OQ00BWJOM,FAC101,2025-01-30 09:40:48,THU,09:40:48,False,EXIT,143
V00000087,LBXET9HGJ,FAC101,2025-01-30 09:41:37,THU,09:41:37,False,EXIT,158
V00000088,PYXONAJTS,FAC101,2025-01-30 09:41:51,THU,09:41:51,True,ENTRY,116
V00000089,QAPRJ8AJB,FAC102,2025-01-30 09:42:27,THU,09:42:27,True,EXIT,174
V00000090,GV91LGM3U,FAC101,2025-01-30 09:43:09,THU,09:43:09,False,ENTRY,103
V00000091,AD9CD5LV0,FAC101,2025-01-30 09:43:44,THU,09:43:44,True,REENT,109
V00000092,ZGLU6NKNN,FAC101,2025-01-30 09:44:57,THU,09:44:57,True,REENT,160
V00000093,STZQQ0KMH,FAC101,2025-01-30 09:45:34,THU,09:45:34,True,ENTRY,137
V00000094,BTEDFG8DM,FAC101,2025-01-30 09:45:44,THU,09:45:44,False,REENT,185
V00000095,KWJ7IMNRR,FAC101,2025-01-30 09:46:17,THU,09:46:17,True,ENTRY,128
V00000096,YURM7D8UZ,FAC102,2025-01-30 09:47:40,THU,09:47:40,True,EXIT,118
V00000097,OVJGSYYWD,FAC101,2025-01-30 09:48:08,THU,09:48:08,True,EXIT,128
V00000098,JWY6JLSY8,FAC102,2025-01-30 09:48:26,THU,09:48:26,False,EXIT,166
V00000099,H7IRTWQHU,FAC101,2025-01-30 09:48:48,THU,09:48:48,False,EXIT,104
V00000100,JF325TZNL,FAC101,2025-01-30 09:48:53,THU,09:48:53,False,EXIT,184
V00000101,TU6OHWT92,FAC101,2025-01-30 09:49:55,THU,09:49:55,False,REENT,139
V00000102,IHFT5OMG2,FAC101,2025-01-30 09:50:24,THU,09:50:24,False,ENTRY,143
V00000103,XFC2RPGJZ,FAC101,2025-01-30 09:50:32,THU,09:50:32,True,REENT,171
V00000104,ZKI3CB5MI,FAC101,2025-01-30 09:51:14,THU,09:51:14,True,EXIT,139
V00000105,EC69J1EEA,FAC101,2025-01-30 09:51:32,THU,09:51:32,False,EXIT,158
V00000106,OADLMP7ZS,FAC101,2025-01-30 09:52:10,THU,09:52:10,True,EXIT,172
V00000107,CPVVA7XUP,FAC101,2025-01-30 09:52:36,THU,09:52:36,True,EXIT,100
V00000108,LA3TJKTK8,FAC102,2025-01-30 09:53:16,THU,09:53:16,True,EXIT,131
V00000109,J9S6H2IOI,FAC101,2025-01-30 09:53:41,THU,09:53:41,True,ENTRY,174
V00000110,UIKUHW5UX,FAC101,2025-01-30 09:54:00,THU,09:54:00,True,EXIT,137
V00000111,M1H294CG3,FAC101,2025-01-30 09:54:18,THU,09:54:18,False,REENT,122
V00000112,VKNTGX60U,FAC101,2025-01-30 09:55:09,THU,09:55:09,False,ENTRY,104
V00000113,ZGLU6NKNN,FAC101,2025-01-30 09:55:37,THU,09:55:37,False,ENTRY,150
V00000114,OI1ESZDH3,FAC101,2025-01-30 09:56:23,THU,09:56:23,False,REENT,187
V00000115,P5JQRZUUJ,FAC101,2025-01-30 09:57:15,THU,09:57:15,True,REENT,118
V00000116,RLUVP927N,FAC101,2025-01-30 09:57:21,THU,09:57:21,False,EXIT,176
V00000117,BVN0ATIAT,FAC101,2025-01-30 09:57:45,THU,09:57:45,False,EXIT,189
V00000118,TIU47UP5X,FAC102,2025-01-30 09:58:17,THU,09:58:17,True,ENTRY,103
V00000119,F9OH8MWQI,FAC101,2025-01-30 09:58:43,THU,09:58:43,False,EXIT,169
V00000120,OP0R4IX54,FAC101,2025-01-30 09:59:17,THU,09:59:17,True,ENTRY,108
V00000121,I2D66UU6B,FAC102,2025-01-30 09:59:32,THU,09:59:32,True,EXIT,118
V00000122,C12FHBGWA,FAC101,2025-01-30 10:01:20,THU,10:01:20,True,REENT,160
V00000123,JBQNJ7IOT,FAC101,2025-01-30 10:02:05,THU,10:02:05,False,EXIT,173
V00000124,TTAR0GZIW,FAC101,2025-01-30 10:03:17,THU,10:03:17,False,ENTRY,149
V00000125,Q03S69PQQ,FAC101,2025-01-30 10:03:45,THU,10:03:45,True,REENT,188
V00000126,BAT0GBIQE,FAC101,2025-01-30 10:03:51,THU,10:03:51,True,EXIT,171
V00000127,ASI1TL4Z1,FAC101,2025-01-30 10:04:09,THU,10:04:09,True,EXIT,135
V00000128,AJPTIAWXE,FAC102,2025-01-30 10:04:41,THU,10:04:41,False,EXIT,164
V00000129,HXJFEKLDY,FAC101,2025-01-30 10:05:21,THU,10:05:21,False,ENTRY,155
V00000130,V4X05EA87,FAC101,2025-01-30 10:06:19,THU,10:06:19,True,ENTRY,166
V00000131,HD0AESBLC,FAC101,2025-01-30 10:06:51,THU,10:06:51,False,EXIT,121
V00000132,NOO3A2D3N,FAC101,2025-01-30 10:08:48,THU,10:08:48,False,ENTRY,165
V00000133,DGFN0QET6,FAC101,2025-01-30 10:09:11,THU,10:09:11,True,EXIT,139
V00000134,JNV7IF4KB,FAC101,2025-01-30 10:09:56,THU,10:09:56,False,ENTRY,127
V00000135,X8GQ5O2UQ,FAC101,2025-01-30 10:10:15,THU,10:10:15,False,EXIT,111
V00000136,V4X05EA87,FAC101,2025-01-30 10:10:32,THU,10:10:32,True,ENTRY,183
V00000137,O40EJPNNO,FAC101,2025-01-30 10:11:03,THU,10:11:03,True,EXIT,121
V00000138,V24ZAI9JR,FAC101,2025-01-30 10:11:40,THU,10:11:40,False,ENTRY,110
V00000139,MHZY2ZCYI,FAC101,2025-01-30 10:12:42,THU,10:12:42,True,EXIT,132
V00000140,DOVEQJXBL,FAC102,2025-01-30 10:13:09,THU,10:13:09,False,EXIT,149
V00000141,GRD6QKGI2,FAC101,2025-01-30 10:13:24,THU,10:13:24,True,REENT,177
V00000142,IADQ9U8OW,FAC102,2025-01-30 10:13:59,THU,10:13:59,False,EXIT,158
V00000143,E86WRDIF7,FAC101,2025-01-30 10:14:25,THU,10:14:25,True,ENTRY,165
V00000144,HP8CVLMSK,FAC101,2025-01-30 10:14:57,THU,10:14:57,True,ENTRY,173
V00000145,AJQYUQ41K,FAC101,2025-01-30 10:15:29,THU,10:15:29,False,ENTRY,172
V00000146,WXDJ9DLES,FAC101,2025-01-30 10:15:45,THU,10:15:45,True,REENT,128
V00000147,TPZI9PSA8,FAC101,2025-01-30 10:16:37,THU,10:16:37,True,REENT,189
V00000148,XDW27KAI5,FAC101,2025-01-30 10:17:18,THU,10:17:18,False,ENTRY,157
V00000149,P2NGUI33U,FAC101,2025-01-30 10:18:12,THU,10:18:12,True,REENT,166
V00000150,DFOFVXZIN,FAC102,2025-01-30 10:18:17,THU,10:18:17,False,REENT,185
V00000151,S3NXCP37M,FAC101,2025-01-30 10:18:50,THU,10:18:50,False,REENT,186
V00000152,VRB241PNP,FAC101,2025-01-30 10:19:06,THU,10:19:06,True,REENT,127
V00000153,F43AFZ7VT,FAC102,2025-01-30 10:19:47,THU,10:19:47,True,REENT,180
V00000154,CKM9SECOO,FAC101,2025-01-30 10:20:32,THU,10:20:32,False,REENT,115
V00000155,ZXNRBNYXO,FAC101,2025-01-30 10:21:31,THU,10:21:31,False,ENTRY,130
V00000156,U3FU6GDUF,FAC101,2025-01-30 10:21:58,THU,10:21:58,True,REENT,165
V00000157,NUM0QQSPY,FAC101,2025-01-30 10:22:39,THU,10:22:39,False,ENTRY,172
V00000158,CTAFEAFLI,FAC101,2025-01-30 10:23:08,THU,10:23:08,True,EXIT,163
V00000159,M7O7DAGB4,FAC101,2025-01-30 10:23:56,THU,10:23:56,True,EXIT,169
V00000160,YID93T9ZT,FAC101,2025-01-30 10:25:00,THU,10:25:00,True,REENT,122
V00000161,HTNYHARD1,FAC101,2025-01-30 10:25:10,THU,10:25:10,False,REENT,177
V00000162,PS35S8R9T,FAC101,2025-01-30 10:26:00,THU,10:26:00,False,ENTRY,131
V00000163,FHEHDKHI3,FAC101,2025-01-30 10:26:51,THU,10:26:51,False,REENT,156
V00000164,GB0CA3U8Q,FAC101,2025-01-30 10:27:08,THU,10:27:08,False,REENT,147
V00000165,TX26X73E4,FAC101,2025-01-30 10:27:41,THU,10:27:41,True,ENTRY,174
V00000166,PSJN0EMK0,FAC101,2025-01-30 10:28:17,THU,10:28:17,True,REENT,124
V00000167,YYR3YI0PB,FAC101,2025-01-30 10:28:48,THU,10:28:48,True,REENT,122
V00000168,UYLE8FPIS,FAC102,2025-01-30 10:29:14,THU,10:29:14,False,ENTRY,186
V00000169,W2CQ4X5IN,FAC101,2025-01-30 10:29:37,THU,10:29:37,False,REENT,121
V00000170,QPP5TNH9B,FAC101,2025-01-30 10:30:59,THU,10:30:59,False,EXIT,100
V00000171,DOVEQJXBL,FAC101,2025-01-30 10:31:12,THU,10:31:12,False,ENTRY,164
V00000172,VTEOQBV65,FAC101,2025-01-30 10:32:59,THU,10:32:59,False,EXIT,114
V00000173,E8OV9OL3R,FAC101,2025-01-30 10:33:39,THU,10:33:39,True,REENT,159
V00000174,O4IZ3K9UP,FAC101,2025-01-30 10:34:24,THU,10:34:24,True,REENT,176
V00000175,TDIF6YRDU,FAC101,2025-01-30 10:35:29,THU,10:35:29,False,EXIT,139
V00000176,CMUMYZDR2,FAC101,2025-01-30 10:36:58,THU,10:36:58,False,REENT,119
V00000177,TQUQISX4E,FAC102,2025-01-30 10:37:11,THU,10:37:11,False,ENTRY,137
V00000178,RLUVP927N,FAC101,2025-01-30 10:37:38,THU,10:37:38,True,REENT,116
V00000179,VD54KB19O,FAC101,2025-01-30 10:38:06,THU,10:38:06,False,REENT,140
V00000180,LY9MN9W3N,FAC101,2025-01-30 10:38:26,THU,10:38:26,True,EXIT,143
V00000181,V4NKODKKE,FAC101,2025-01-30 10:38:31,THU,10:38:31,False,EXIT,123
V00000182,SP63BQ52M,FAC101,2025-01-30 10:39:02,THU,10:39:02,False,EXIT,139
V00000183,MBDIY654L,FAC101,2025-01-30 10:39:15,THU,10:39:15,True,REENT,136
V00000184,WQFUDEKQT,FAC101,2025-01-30 10:39:39,THU,10:39:39,False,EXIT,116
V00000185,XHL28VT7K,FAC101,2025-01-30 10:39:50,THU,10:39:50,True,REENT,127
V00000186,WW4W83C8E,FAC101,2025-01-30 10:40:21,THU,10:40:21,True,REENT,147
V00000187,VFN9Z8W7X,FAC101,2025-01-30 10:40:42,THU,10:40:42,False,EXIT,164
V00000188,YHBHOS3JA,FAC101,2025-01-30 10:41:21,THU,10:41:21,False,REENT,111
V00000189,D8AV58811,FAC101,2025-01-30 10:41:45,THU,10:41:45,True,EXIT,184
V00000190,J9AD4KWK4,FAC102,2025-01-30 10:42:07,THU,10:42:07,False,ENTRY,161
V00000191,ZF9RPX4U2,FAC101,2025-01-30 10:42:36,THU,10:42:36,True,ENTRY,134
V00000192,F3W3PDV4P,FAC101,2025-01-30 10:42:41,THU,10:42:41,True,ENTRY,138
V00000193,YR88UPDZ4,FAC101,2025-01-30 10:43:00,THU,10:43:00,False,EXIT,113
V00000194,AL4PVJ3O5,FAC101,2025-01-30 10:43:27,THU,10:43:27,True,REENT,146
V00000195,NUM0QQSPY,FAC101,2025-01-30 10:44:05,THU,10:44:05,False,REENT,142
V00000196,PT6TA9SSU,FAC102,2025-01-30 10:44:28,THU,10:44:28,True,REENT,118
V00000197,QDK8NDLCD,FAC101,2025-01-30 10:44:58,THU,10:44:58,True,ENTRY,143
V00000198,JP29SCHEY,FAC101,2025-01-30 10:45:30,THU,10:45:30,True,EXIT,106
V00000199,ZIOXGUJ7K,FAC101,2025-01-30 10:45:55,THU,10:45:55,False,REENT,155
V00000200,B5YG5A8JK,FAC101,2025-01-30 10:46:00,THU,10:46:00,True,REENT,173
V00000201,B47TYMU0N,FAC101,2025-01-30 10:46:28,THU,10:46:28,True,EXIT,124
V00000202,A3WO96SC3,FAC101,2025-01-30 10:47:26,THU,10:47:26,False,EXIT,174
V00000203,LY9MN9W3N,FAC101,2025-01-30 10:48:09,THU,10:48:09,True,ENTRY,156
V00000204,W6R770KFW,FAC101,2025-01-30 10:48:18,THU,10:48:18,False,EXIT,187
V00000205,S724649LU,FAC101,2025-01-30 10:48:44,THU,10:48:44,True,REENT,113
V00000206,D9P2Q6LPY,FAC101,2025-01-30 10:49:12,THU,10:49:12,False,EXIT,115
V00000207,AGB19QKR2,FAC101,2025-01-30 10:49:45,THU,10:49:45,False,EXIT,105
V00000208,I84AAUYGL,FAC102,2025-01-30 10:50:28,THU,10:50:28,True,REENT,183
V00000209,TH3UJ87BI,FAC101,2025-01-30 10:50:56,THU,10:50:56,True,ENTRY,135
V00000210,WLFBG6DS8,FAC101,2025-01-30 10:51:08,THU,10:51:08,True,ENTRY,170
V00000211,F3W3PDV4P,FAC101,2025-01-30 10:51:53,THU,10:51:53,True,REENT,103
V00000212,HIZM4GAF2,FAC101,2025-01-30 10:52:00,THU,10:52:00,True,ENTRY,106
V00000213,PS35S8R9T,FAC101,2025-01-30 10:52:51,THU,10:52:51,False,EXIT,112
V00000214,XWK4SI2BD,FAC101,2025-01-30 10:53:11,THU,10:53:11,True,ENTRY,110
V00000215,UOF57QOQP,FAC101,2025-01-30 10:53:38,THU,10:53:38,True,EXIT,108
V00000216,EKYHYPOL3,FAC102,2025-01-30 10:53:59,THU,10:53:59,True,ENTRY,165
V00000217,UB9ECML1I,FAC101,2025-01-30 10:54:38,THU,10:54:38,True,REENT,112
V00000218,NYIFC8SER,FAC102,2025-01-30 10:54:43,THU,10:54:43,True,REENT,145
V00000219,EG5505XNZ,FAC101,2025-01-30 10:55:19,THU,10:55:19,False,REENT,146
V00000220,V63Q5MYO5,FAC101,2025-01-30 10:55:37,THU,10:55:37,False,ENTRY,146
V00000221,UZLIVZBNX,FAC101,2025-01-30 10:56:25,THU,10:56:25,True,REENT,165
V00000222,R7TN669K3,FAC101,2025-01-30 10:57:07,THU,10:57:07,False,ENTRY,108
V00000223,ZLNF81RL8,FAC101,2025-01-30 10:57:24,THU,10:57:24,True,ENTRY,113
V00000224,CMVANZWPE,FAC101,2025-01-30 10:57:43,THU,10:57:43,False,ENTRY,189
V00000225,YDHANAKYZ,FAC102,2025-01-30 10:58:26,THU,10:58:26,True,REENT,151
V00000226,DAE56L1BI,FAC101,2025-01-30 10:59:11,THU,10:59:11,False,REENT,106
V00000227,FAVBUI82V,FAC101,2025-01-30 10:59:19,THU,10:59:19,False,EXIT,178
V00000228,RVACW4E1Z,FAC101,2025-01-30 10:59:32,THU,10:59:32,False,ENTRY,107
V00000229,BO03I1NBY,FAC101,2025-01-30 11:00:08,THU,11:00:08,True,EXIT,35
V00000230,OC30WJEHV,FAC101,2025-01-30 11:02:24,THU,11:02:24,True,REENT,77
V00000231,IUTEWU6CY,FAC101,2025-01-30 11:02:58,THU,11:02:58,False,ENTRY,60
V00000232,JWY6JLSY8,FAC101,2025-01-30 11:07:40,THU,11:07:40,True,ENTRY,26
V00000233,ET8IGRGWZ,FAC101,2025-01-30 11:11:37,THU,11:11:37,False,REENT,48
V00000234,IYT745EI8,FAC101,2025-01-30 11:14:54,THU,11:14:54,True,EXIT,21
V00000235,ORURQV3UQ,FAC101,2025-01-30 11:22:16,THU,11:22:16,False,REENT,43
V00000236,IYT745EI8,FAC102,2025-01-30 11:27:57,THU,11:27:57,False,ENTRY,31
V00000237,MNJSMG4HR,FAC101,2025-01-30 11:31:07,THU,11:31:07,False,EXIT,26
V00000238,JEFQA9E15,FAC101,2025-01-30 11:32:02,THU,11:32:02,False,EXIT,52
V00000239,HIWME20M0,FAC101,2025-01-30 11:37:05,THU,11:37:05,False,EXIT,57
V00000240,QC32748PP,FAC101,2025-01-30 11:41:38,THU,11:41:38,False,EXIT,29
V00000241,TDKYUOTXH,FAC101,2025-01-30 11:48:28,THU,11:48:28,False,EXIT,35
V00000242,S5I92938R,FAC101,2025-01-30 11:50:27,THU,11:50:27,False,EXIT,49
V00000243,TKE9IFJJ6,FAC101,2025-01-30 11:55:10,THU,11:55:10,False,EXIT,71
V00000244,ROVWWR2NN,FAC101,2025-01-30 12:03:03,THU,12:03:03,False,EXIT,29
V00000245,SPVHREIIS,FAC101,2025-01-30 12:07:07,THU,12:07:07,True,EXIT,44
V00000246,W7VF4CLU8,FAC101,2025-01-30 12:10:48,THU,12:10:48,True,ENTRY,57
V00000247,BDZLPNFKQ,FAC101,2025-01-30 12:15:31,THU,12:15:31,False,REENT,74
V00000248,A79BAXK57,FAC101,2025-01-30 12:19:27,THU,12:19:27,False,EXIT,29
V00000249,NLP2OWX7V,FAC101,2025-01-30 12:25:27,THU,12:25:27,False,ENTRY,18
V00000250,P3N3MSZMU,FAC101,2025-01-30 12:31:37,THU,12:31:37,True,EXIT,12
V00000251,UX7VL0M67,FAC103,2025-01-30 12:35:53,THU,12:35:53,True,EXIT,61
V00000252,PG8EK2TRX,FAC101,2025-01-30 12:38:12,THU,12:38:12,False,EXIT,15
V00000253,U0MX652QO,FAC103,2025-01-30 12:39:27,THU,12:39:27,False,ENTRY,68
V00000254,IGQMAF1ZJ,FAC101,2025-01-30 12:43:58,THU,12:43:58,False,REENT,17
V00000255,OZHGTMZN7,FAC101,2025-01-30 12:48:24,THU,12:48:24,True,ENTRY,47
V00000256,GCNUX56VH,FAC101,2025-01-30 12:58:00,THU,12:58:00,True,ENTRY,70
V00000257,KGRBALUZ5,FAC101,2025-01-30 13:02:26,THU,13:02:26,True,EXIT,63
V00000258,DSA068WPR,FAC101,2025-01-30 13:07:20,THU,13:07:20,False,ENTRY,28
V00000259,G32YJ6X8Z,FAC103,2025-01-30 13:11:46,THU,13:11:46,True,EXIT,32
V00000260,KUCO3T58L,FAC103,2025-01-30 13:20:45,THU,13:20:45,False,REENT,11
V00000261,HI21IMWJS,FAC101,2025-01-30 13:26:29,THU,13:26:29,True,REENT,69
V00000262,K0NV0L3U9,FAC102,2025-01-30 13:32:11,THU,13:32:11,False,EXIT,43
V00000263,RVSCYZ591,FAC101,2025-01-30 13:34:30,THU,13:34:30,True,REENT,78
V00000264,STZQQ0KMH,FAC101,2025-01-30 13:34:35,THU,13:34:35,True,EXIT,31
V00000265,XDW27KAI5,FAC101,2025-01-30 13:38:58,THU,13:38:58,True,EXIT,37
V00000266,U8MVNA5WC,FAC101,2025-01-30 13:44:29,THU,13:44:29,True,EXIT,11
V00000267,LRJ5T4568,FAC101,2025-01-30 13:45:23,THU,13:45:23,False,ENTRY,53
V00000268,M0LKQ7QFQ,FAC101,2025-01-30 13:49:49,THU,13:49:49,True,ENTRY,13
V00000269,J11YOWUAA,FAC101,2025-01-30 13:49:54,THU,13:49:54,True,ENTRY,30
V00000270,AJQYUQ41K,FAC101,2025-01-30 13:55:44,THU,13:55:44,False,ENTRY,22
V00000271,IUZCQT2GP,FAC101,2025-01-30 13:55:49,THU,13:55:49,True,EXIT,54
V00000272,AL9S8HZWZ,FAC103,2025-01-30 14:01:34,THU,14:01:34,False,REENT,76
V00000273,S3KDOQDXC,FAC103,2025-01-30 14:05:28,THU,14:05:28,False,REENT,71
